# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
50 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.80078125 -29106.353515625 -1233.5689697265625 1 0049.png

51 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.7978515625 -29116.37890625 -1233.52392578125 1 0050.png

52 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.794677734375 -29126.40234375 -1233.47900390625 1 0051.png

53 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.79150390625 -29136.427734375 -1233.43408203125 1 0052.png

54 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.78857421875 -29146.451171875 -1233.3890380859375 1 0053.png

55 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.785400390625 -29156.474609375 -1233.3441162109375 1 0054.png

56 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.7822265625 -29166.5 -1233.2991943359375 1 0055.png

57 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.779296875 -29176.5234375 -1233.254150390625 1 0056.png

58 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.776123046875 -29186.548828125 -1233.209228515625 1 0057.png

59 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.773193359375 -29196.572265625 -1233.164306640625 1 0058.png

60 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.77001953125 -29206.59765625 -1233.1192626953125 1 0059.png

61 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.766845703125 -29216.62109375 -1233.0743408203125 1 0060.png

62 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.763916015625 -29226.64453125 -1233.0294189453125 1 0061.png

63 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.7607421875 -29236.669921875 -1232.984375 1 0062.png

64 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.7578125 -29246.693359375 -1232.939453125 1 0063.png

65 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.754638671875 -29256.71875 -1232.89453125 1 0064.png

66 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.75146484375 -29266.7421875 -1232.8494873046875 1 0065.png

67 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.74853515625 -29276.765625 -1232.8045654296875 1 0066.png

68 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.745361328125 -29286.791015625 -1232.7596435546875 1 0067.png

69 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.7421875 -29296.814453125 -1232.714599609375 1 0068.png

70 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.7392578125 -29306.83984375 -1232.669677734375 1 0069.png

71 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.736083984375 -29316.86328125 -1232.6246337890625 1 0070.png

72 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.733154296875 -29326.88671875 -1232.5797119140625 1 0071.png

73 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.72998046875 -29336.912109375 -1232.5347900390625 1 0072.png

74 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.726806640625 -29346.935546875 -1232.48974609375 1 0073.png

75 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.723876953125 -29356.9609375 -1232.44482421875 1 0074.png

76 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.720703125 -29366.984375 -1232.39990234375 1 0075.png

77 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.7177734375 -29377.0078125 -1232.3548583984375 1 0076.png

78 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.714599609375 -29387.033203125 -1232.3099365234375 1 0077.png

79 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.71142578125 -29397.056640625 -1232.2650146484375 1 0078.png

80 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.70849609375 -29407.08203125 -1232.219970703125 1 0079.png

81 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.705322265625 -29417.10546875 -1232.175048828125 1 0080.png

82 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.7021484375 -29427.12890625 -1232.130126953125 1 0081.png

83 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.69921875 -29437.154296875 -1232.0850830078125 1 0082.png

84 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.696044921875 -29447.177734375 -1232.0401611328125 1 0083.png

85 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.693115234375 -29457.203125 -1231.9952392578125 1 0084.png

86 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.68994140625 -29467.2265625 -1231.9501953125 1 0085.png

87 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.686767578125 -29477.251953125 -1231.9052734375 1 0086.png

88 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.683837890625 -29487.275390625 -1231.8603515625 1 0087.png

89 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.6806640625 -29497.298828125 -1231.8153076171875 1 0088.png

90 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.677734375 -29507.32421875 -1231.7703857421875 1 0089.png

91 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.674560546875 -29517.34765625 -1231.7254638671875 1 0090.png

92 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.67138671875 -29527.373046875 -1231.680419921875 1 0091.png

93 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.66845703125 -29537.396484375 -1231.635498046875 1 0092.png

94 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.665283203125 -29547.419921875 -1231.5904541015625 1 0093.png

95 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.662109375 -29557.4453125 -1231.5455322265625 1 0094.png

